song_n,song_s,note_s
1173,Acrid Avid Jam Shred,bad
1174,Wax the Nip,bad
1175,Ventolin (video version),bad
1176,Phloam,
1177,Tamphex (Headphuq mix),
1178,"Digeridoo (live in Cornwall, 1990)",
1179,Polynomial‐C,good
1180,Phlange Phace,
1181,Analogue Bubblebath 1,good
1182,We Have Arrived (Aphex Twin TTQ mix),
1183,Isoprophlex,
1184,Metapharstic,
1185,We Have Arrived (Aphex Twin QQT mix),
1186,Digeridoo,
1187,Flaphead,
1188,Dodeccaheedron,
1189,73-Yips,bad
1190,D-Scape,bad
1191,Xepha,bad
1192,On,good
1193,Taking Control,
1194,Afx237 V.7,
1195,Bbydhyonchord,short
1196,Aussois,short
1197,54 Cymru Beats,
1198,Father,short
1199,Omgyjya-Switch7,
1200,Mt Saint Michel + Saint Michaels Mount,
1201,Petiatil Cx Htdui,good
1202,Beskhu3epnm,short
1203,Vordhosbn,
1204,Hy a Scullyas Lyf a Dhagrow,short
1205,Ziggomatic 17,
1206,Nanou 2,good
1207,Gwely Mernans,good
1208,Avril 14th,short
1209,Gwarek2,
1210,Btoum-Roumada,short
1211,Jynweythek,short
1212,Kladfvgbung Micshk,short
1213,Orban Eq Trx4,short
1214,Kesson Dalef,short
1215,Strotha Tynhe,short
1216,Lornaderek,short
1217,QKThr,short
1218,Prep Gwarlek 3b,short
1219,Meltphace 6,
1220,Ruglen Holon,short
1221,Cock/Ver10,
1222,Bit 4,short
1223,Fingerbib,good
1224,To Cure a Weakling Child,
1225,Girl/Boy Song,good
1226,Logan Rock Witch,
1227,Cornish Acid,short
1228,Peek 824545201,
1229,Carn Marth,short
1230,Goon Gumpas,short
1231,Yellow Calx,
1232,4,good
1233,1 [Cliffs],good
1234,11 [Domino],bad
1235,17 [Z Twig],good
1236,19 [Hexagon],good
1237,13 Blue Calx,good
1238,14 [Parallel Stripes],good
1239,18 [Windowsill],
1240,3 [Rhubarb],good
1241,4 [Hankie],bad
1242,5 [Grass],bad
1243,6 [Mold],bad
1244,[Stone in Focus],good
1245,24 [Matchsticks],
1246,23 [White Blur 2],
1247,9 [Weathered Stone],bad
1248,12 [White Blur 1],short
1249,15 [Shiny Metal Rods],
1250,21 [Spots],
1251,22 [Tassels],
1252,20 [Lichen],good
1253,2 [Radiator],bad
1254,7 [Curtains],bad
1255,8 [Blur],good
1256,10 [Tree],good
1257,16 [Grey Stripe],
1258,On (D-Scape mix),bad
1259,On (Reload mix),good
1260,On (μ-Ziq mix),good
1261,On (28 mix),bad
1262,Tha,good
1263,Green Calx,bad
1264,Ptolemy,bad
1265,Delphium,bad
1266,Pulsewidth,good
1267,Ageispolis,good
1268,i,good
1269,Heliosphan,good
1270,Actium,bad
1271,Xtal,good
1272,We are the music makers,bad
1273,Hedphelym,bad
1274,Schottkey 7th Path,bad
1275,The Suburbs,
1276,Ready to Start,
1277,Modern Man,
1278,Half Light II (No Celebration),
1279,Wasted Hours,
1280,Deep Blue,
1281,The Suburbs (Continued),short
1282,Empty Room,short
1283,Half Light I,
1284,We Used to Wait,
1285,Sprawl I (Flatland),short
1286,Sprawl II (Mountains Beyond Mountains),good
1287,Rococo,
1288,City With No Children,
1289,Suburban War,
1290,Month of May,
1291,prac-f,bad
1292,tuinorizn,bad
1293,runrepik,bad
1294,deco Loc,bad
1295,recks on,bad
1296,irlite (get 0),bad
1297,T ess xi,bad
1298,nodezsh,bad
1299,jatevee C,bad
1300,vekoS,bad
1301,Flep,bad
1302,bladelores,bad
1303,1 1 is,bad
1304,spl9,bad
1305,cloudline,bad
1306,YJY UX,bad
1307,FLeure,bad
1308,Rpeg,
1309,Squeller,
1310,Left Blank,
1311,Outpt,
1312,Dropp,good
1313,Zeiss Contarex,
1314,Netlon Sentinel,
1315,Ccec,
1316,Liccflii,
1317,Maphive 6.1,
1318,Pir,
1319,Arch Carrier,
1320,Drane2,
1321,Vose In,bad
1322,"Fold4,Wrap5",bad
1323,Under BOAC,
1324,Corc,
1325,Melve,short
1326,Caliper Remote,short
1327,Acroyear2,bad
1328,777,bad
1329,Rae,bad
1330,Maetl,
1331,Bike,good
1332,Autriche,good
1333,Basscadet,
1334,Eggshell,good
1335,Doctrine,
1336,Windwind,good
1337,Lowride,
1338,444,good
1339,Kalpol Introl,good
1340,Bronchus 2,
1341,pendulu casual,bad
1342,spTh,
1343,spaces how V,
1344,freulaeux,
1345,oneum,
1346,latentcall,bad
1347,artov chain,bad
1348,7th slip,bad
1349,acdwn2,bad
1350,foldfree casual,bad
1351,elyc6 0nset,long
1352,chimer 1-5-1,bad
1353,c7b2,bad
1354,pce freeze 2.8i,
1355,rew(1),
1356,ylm0,
1357,M62,
1358,Cep puiqMX,
1359,Etchogon-S,
1360,y7,
1361,nth Dafuseder.b,
1362,iris was a pupil,good
1363,no border,
1364,P.:NTIL,
1365,IV VV IV VV VIII,
1366,TAPR,
1367,Surripere,good
1368,Theme of Sudden Roundabout,
1369,VL AL 5,
1370,V-PROC,
1371,Reniform Puls,
1372,Xylin Room,
1373,6IE.CR,
1374,Foil,bad
1375,Slip,bad
1376,Piezo,bad
1377,Nine,good
1378,Further,bad
1379,Montreal,bad
1380,Silverside,bad
1381,Glitch,bad
1382,Yulquen,good
1383,Nil,good
1384,Teartear,bad
1385,TBM2,bad
1386,mesh cinereaL,long
1387,eastre,long
1388,pendulu hv moda,bad
1389,curvcaten,bad
1390,feed1,bad
1391,c16 deep tread,bad
1392,13x0 step,bad
1393,Treale,
1394,os veix3,
1395,known(1),
1396,d-sho qub,
1397,redfall,good
1398,krYlon,
1399,r ess,good
1400,pt2ph8,good
1401,qplay,
1402,see on see,good
1403,O=0,
1404,st epreo,
1405,ilanders,
1406,Yuop,good
1407,fwzE,short
1408,bnc Castl,short
1409,Theswere,short
1410,WNSN,bad
1411,Altibzz,good
1412,plyPhon,short
1413,Perlence,bad
1414,Simmm,good
1415,Tankakern,bad
1416,Outh9X,bad
1417,The Plc,bad
1418,IO,bad
1419,SonDEremawe,short
1420,paralel Suns,good
1421,Steels,good
1422,rale,bad
1423,Fol3,good
1424,90101-5l-l,bad
1425,chenc9,bad
1426,Notwo,good
1427,Cfern,bad
1428,Parhelic Triangle,bad
1429,Bine,
1430,Eidetic Casein,
1431,Uviol,
1432,VI Scose Poise,bad
1433,Pen Expers,bad
1434,Sim Gishel,bad
1435,Lentic Catachresis,
1436,Yeesland,
1437,Pencha,
1438,Characi,
1439,Krib,bad
1440,Tilapia,
1441,Cipater,bad
1442,Tewe,bad
1443,Pule,
1444,Nuane,
1445,Rettic AC,short
1446,Cichli,bad
1447,Hub,bad
1448,Calbruc,bad
1449,Recury,
1450,Iera,bad
1451,The Trees,
1452,LCC,bad
1453,Ipacial Section,bad
1454,Pro Radii,bad
1455,Augmatic Disport,bad
1456,Fermium,
1457,Sublimit,long
1458,Gnit,
1459,Rsdio,
1460,Leterel,
1461,Eutow,
1462,Clipper,
1463,Rotar,
1464,Stud,
1465,C/pach,
1466,Overand,good
1467,Dael,
1468,Hot Line to Heaven,
1469,Robert De Niro’s Waiting,
1470,Through a Child’s Eye,
1471,Cruel Summer,good
1472,King of the Jungle,
1473,URL,short
1474,State I’m In,short
1475,Rough Justice,
1476,Dream Baby,
1477,By Ourselves,short
1478,With Him,short
1479,E.V.P.,bad
1480,Better Numb,bad
1481,Augustine,bad
1482,Better Than Me,bad
1483,Thank You,good
1484,Juicy 1-4,bad
1485,Chance,short
1486,Best to You,good
1487,Love Ya,good
1488,But You,bad
1489,Hands Up,bad
1490,Hadron Collider,bad
1491,Squash Squash,bad
1492,Desirée,good
1493,I Know,good
1494,No Right Thing,bad
1495,It Is What It Is,good
1496,Clipped On,bad
1497,Always Let U Down,good
1498,On the Line,good
1499,You’re Not Good Enough,good
1500,Chamakay,good
1501,Uncle ACE,good
1502,Chosen,good
1503,High Street,short
1504,Time Will Tell,bad
1505,I’m Sorry We Lied,good
1506,Can We Go Inside Now?,good
1507,S’cooled,good
1508,Complete Failure,bad
1509,Instantly Blank (The Goodness),short
1510,The Complete Knock,bad
1511,Forget It,bad
1512,Champagne Coast,bad
1513,Sutphin Boulevard,good
1514,Are You Sure You’re Really Busy?,bad
1515,Dinner,good
1516,Bad Girls,good
1517,Nappy Wonder,short
1518,Hope,bad
1519,Family,short
1520,Chewing Gum,bad
1521,Take Your Time,short
1522,Holy Will,bad
1523,Dagenham Dream,short
1524,Runnin’,bad
1525,Vulture Baby,short
1526,Out of Your League,short
1527,Minetta Creek,short
1528,Orlando,bad
1529,Saint,bad
1530,Jewelry,bad
1531,Charcoal Baby,bad
1532,Smoke,bad
1533,Take It Back,bad
1534,I Wanna C U,short
1535,Tuesday Feeling (Choose to Stay),short
1536,Happiness,short
1537,Baby Florence (Figure),short
1538,Gold Teeth,bad
1539,Berlin,short
1540,"Seven Hours, Part 1",short
1541,Today,short
1542,Dark & Handsome,short
1543,Benzo,bad
1544,Good for You,short
1545,Something to Do,short
1546,Birmingham,short
1547,Ambivalence Avenue,
1548,Jealous of Roses,short
1549,All the Flowers,short
1550,Fire Ant,
1551,Lovers’ Carvings,good
1552,Abrasion,short
1553,S’Vive,
1554,Sugarette,
1555,The Palm of Your Wave,short
1556,Cry! Baby!,
1557,Dwrcan,
1558,Haikuesque (When She Laughs),good
1559,Top Soil,short
1560,The Garden Shelter,
1561,Mr and Mrs Compost,short
1562,Over the Far and Hills Away,short
1563,Amongst the Bark and Fungus,
1564,The Ephemeral Bluebell,bad
1565,Thatched,
1566,Odd Paws,short
1567,The Clothesline and the Silver Birch,short
1568,Everglad Everglade,short
1569,Dopplerton,bad
1570,Weekend Wildfire,bad
1571,Torn Under the Window Light,short
1572,"Flesh Rots, Pip Sown",bad
1573,Great Are the Piths,short
1574,Under the Pier,bad
1575,The Cranking House,short
1576,Zoopraxiphone,bad
1577,Overgrown,
1578,Aberriw,short
1579,Ffwrnais,bad
1580,Woodington,
1581,Snowbow,
1582,Maroon Lagoon,short
1583,Quantock,bad
1584,Black Country Blue,short
1585,Marram,short
1586,Above the Rooftops,
1587,Cherry Go Round,bad
1588,Dyfi,bad
1589,The Milky Way Over Ratlinghope,
1590,Awpockes,short
1591,Otter Shadows,short
1592,"Watching Thus, The Heron Is All Pool",short
1593,Crocus,short
1594,Sleep On The Wing,good
1595,A Couple Swim,
1596,Lightspout Hollow,short
1597,Oakmoss,
1598,Miss Blennerhassett,short
1599,You Won't Remember...,
1600,Dye the Water Green,good
1601,Mirroring All,
1602,Sycamore Silhouetting,
1603,Raincoat,
1604,Business Park,
1605,The First Daffodils,short
1606,Wulf,short
1607,À tout à l'heure,
1608,You,
1609,Look at Orion!,
1610,Jezzebel,
1611,Water Runs Dry,
1612,Yesterday,
1613,U Know,
1614,I Sit Away,
1615,Trying Times,
1616,I’ll Make Love to You,
1617,50 Candles,
1618,All Around the World,
1619,Vibin’,
1620,Khalil (interlude),short
1621,Thank You,
1622,On Bended Knee,
1623,Motownphilly (remix radio edit),
1624,Motownphilly (original version),
1625,Uhh Ahh (original version),
1626,Your Love,
1627,Sympin (original version),
1628,Please Don’t Go,
1629,Lonely Heart,
1630,This Is My Heart,
1631,Uhh Ahh (sequel version),
1632,It’s So Hard to Say Goodbye to Yesterday (original version),short
1633,End of the Road (LP version),
1634,Under Pressure,
1635,Sympin (remix radio edit),
1636,Little Things,
1637,It’s So Hard to Say Goodbye to Yesterday (radio version),
1638,Daddy Fat Sax,short
1639,Night Night,
1640,Shine Blockas,
1641,Shutterbugg,good
1642,Tangerine,
1643,Hustle Blood,
1644,Fo Yo Sorrows,
1645,Feel Me (intro),short
1646,Turns Me On,
1647,Follow Us,
1648,"The Train, Part 2 (Sir Lucious Left Foot Saves the Day)",
1649,Back Up Plan,
1650,General Patton,
1651,You Ain’t No DJ,
1652,Be Still,
1653,Asthenia,
1654,Obvious,short
1655,Go,short
1656,Easy Target,short
1657,Here’s Your Letter,short
1658,Violence,
1659,Stockholm Syndrome,short
1660,Always,
1661,Feeling This,short
1662,I Miss You,
1663,Down,
1664,The Fallen Interlude,short
1665,All of This,
1666,I’m Lost Without You,
1667,Anthem Part Two,
1668,The Rock Show,short
1669,Reckless Abandon,
1670,Every Time I Look for You,
1671,Give Me One Good Reason,
1672,First Date,
1673,Story of a Lonely Guy,
1674,Roller Coaster,short
1675,Shut Up,
1676,Online Songs,short
1677,Happy Holidays,short
1678,Stay Together for the Kids,
1679,Please Take Me Home,
1680,Aliens Exist,
1681,Dysentery Gary,short
1682,The Party Song,short
1683,Don’t Leave Me,short
1684,All the Small Things,
1685,Dumpweed,short
1686,Going Away to College,short
1687,What’s My Age Again?,short
1688,Adam’s Song,
1689,Mutt,
1690,Wendy Clear,short
1691,Anthem,
1692,The Mirror of the Signs,bad
1693,The Sound of Winter,
1694,All My Life,
1695,Red Light,
1696,She’s a Stallion,
1697,Stand Up,
1698,Be Still My Love,
1699,The Afterlife,
1700,All Night Doctors,
1701,Baby Come Home,
1702,I Believe in You,
1703,The Heart of the Matter,
1704,Superman,bad
1705,Fugitive,bad
1706,Land of the Living,missing
1707,My Engine Is With You,short
1708,Out of This World,
1709,Headful of Ghosts,bad
1710,The People That We Love,bad
1711,Hurricane,
1712,Inflatable,
1713,Reasons,
1714,Float,
1715,Solutions,bad
1716,Dead Meat,bad
1717,Warm Machine,bad
1718,Jesus Online,bad
1719,The Chemicals Between Us,good
1720,English Fire,bad
1721,Prizefighter,bad
1722,Altered States,bad
1723,Spacetravel,bad
1724,40 Miles From the Sun,bad
1725,The Disease of the Dancing Cats,bad
1726,Letting the Cables Sleep,bad
1727,Mindchanger,bad
1728,History,
1729,Synapse,
1730,Greedy Fly,bad
1731,Mouth,
1732,Bonedriven,
1733,Personal Holloway,bad
1734,Swallowed,bad
1735,Insect Kin,bad
1736,Straight No Chaser,
1737,Communicator,
1738,Distant Voices / [unknown],
1739,Cold Contagious,bad
1740,A Tendency to Start Fires,
1741,Monkey,
1742,Glycerine,
1743,Alien,
1744,Little Things,good
1745,Comedown,good
1746,Body,
1747,Bomb,
1748,Machinehead,good
1749,Testosterone,
1750,X‐Girlfriend,short
1751,Everything Zen,good
1752,Swim,
1753,Diamonds,
1754,Everything,
1755,Only Love,
1756,The Fear,
1757,Keep Your Head Up,
1758,Black Flies,
1759,The Wolves,
1760,Gracious,
1761,Promise,good
1762,Old Pine,
1763,Jacquard Causeway,bad
1764,Telepath,short
1765,Cold Earth,bad
1766,Sick Times,bad
1767,Semena Mertvykh,
1768,Gemini,short
1769,Reach for the Dead,good
1770,Palace Posy,bad
1771,Uritual,short
1772,Sundown,short
1773,White Cyclosa,good
1774,Transmisiones Ferox,short
1775,Collapse,short
1776,Nothing Is Real,bad
1777,New Seeds,good
1778,Come to Dust,
1779,Split Your Infinities,bad
1780,Dayvan Cowboy,reissue
1781,Left Side Drive,good
1782,Heard From Telegraph Lines,short
1783,Skyliner,bad
1784,Under the Coke Sign,short
1785,Zoetrope,bad
1786,Kid for Today,good
1787,Amo Bishop Roden,good
1788,In a Beautiful Place Out in the Country,good
1789,Aquarius,bad
1790,Happy Cycling (Changed From Bad Day),bad
1791,Olson,bad
1792,XYZ,bad
1793,The Color of the Fire,short
1794,Rue the Whirl,bad
1795,Open the Light,good
1796,Wildlife Analysis,short
1797,An Eagle in Your Mind,good
1798,Sixtyten,bad
1799,Kaini Industries,short
1800,Pete Standing Alone,bad
1801,Telephasic Workshop,bad
1802,Turquoise Hexagon Sun,good
1803,Aquarius,bad
1804,Olson,short
1805,Triangles and Rhombuses,short
1806,Bocuma,short
1807,Roygbiv,short
1808,Smokes Quantity,reissue
1809,One Very Important Thought,short
1810,Satellite Anthem Icarus,good
1811,Slow This Bird Down,good
1812,Chromakey Dreamcoat,good
1813,Peacock Tail,bad
1814,'84 Pontiac Dream,good
1815,Sherbet Head,short
1816,Oscar See Through Red Eye,good
1817,Tears From the Compound Eye,good
1818,Into the Rainbow Vein,short
1819,Constants Are Changing,short
1820,Farewell Fire,bad
1821,Ataronchronon,short
1822,Hey Saturday Sun,good
1823,Dayvan Cowboy,bad
1824,A Moment of Clarity,short
1825,Julie and Candy,bad
1826,Beware the Friendly Stranger,short
1827,Opening the Mouth,short
1828,The Devil Is in the Details,good
1829,A Is to B as B Is to C,short
1830,Diving Station,short
1831,You Could Feel the Sky,bad
1832,Gyroscope,bad
1833,Dandelion,short
1834,In the Annexe,short
1835,I Saw Drones,short
1836,Corsair,short
1837,Ready Lets Go,good
1838,Music Is Math,good
1839,Sunshine Recorder,good
1840,The Smallest Weird Number,short
1841,1969,bad
1842,Energy Warning,short
1843,The Beach at Redpoint,good
1844,Alpha and Omega,good
1845,Over the Horizon Radar,short
1846,Dawn Chorus,good
1847,Hi Scores,bad
1848,Nlogax,bad
1849,June 9th,bad
1850,Seeya Later,reissue
1851,Everything You Do Is a Balloon,good
1852,Twoism,bad
1853,Smokes Quantity,bad
1854,1986 Summer Fire,short
1855,Melissa Juice,short
1856,Sixtyniner,good
1857,Oirectine,bad
1858,Iced Cooly,short
1859,Basefree,bad
1860,Seeya Later,bad
1861,Fields of Gray,good
1862,Passing Through,
1863,What a Time,
1864,Harbor Lights,
1865,Talk of the Town,
1866,Long Tall Cool One,
1867,China Doll,
1868,Rainbow’s Cadillac,
1869,The Tide Will Rise,
1870,Pastures of Plenty,
1871,Every Little Kiss,
1872,Mandolin Rain,
1873,The Way It Is,good
1874,The Wild Frontier,
1875,The River Runs Low,
1876,The Red Plains,
1877,On the Western Skyline,
1878,The Long Race,
1879,Down the Road Tonight,good
1880,It Ain’t a Party…If You Can’t Come ’round,
1881,The Only Thing That Looks Good on Me Is You,
1882,Star,
1883,We’re Gonna Win,short
1884,You’re Still Beautiful to Me,
1885,Have You Ever Really Loved a Woman?,good
1886,Let’s Make a Night to Remember,
1887,18 Til I Die,
1888,Do to You,
1889,I Think About You,
1890,I’ll Always Be Right There,
1891,Black Pearl,
1892,(I Wanna Be) Your Underwear,
1893,Mondrin,
1894,Bio Dimension,
1895,Metropolis,
1896,Obtuse,
1897,Telefone 529,
1898,Drift,
1899,Soundtrack of Space,
1900,Hall of Mirrors,bad
1901,Obsessed,
1902,Basic Emotion,
1903,OK,short
1904,Too Many Rappers (New Reactionaries version),
1905,Long Burn the Fire,
1906,Funky Donkey,short
1907,The Larry Routine,short
1908,Make Some Noise,good
1909,Don't Play No Game That I Can't Win,
1910,Crazy Ass Shit,short
1911,The Lisa Lisa/Full Force Routine,short
1912,Nonstop Disco Powerpack,
1913,Say It,
1914,The Bill Harper Collection,short
1915,Tadlock's Glasses,short
1916,Lee Majors Come Again,
1917,Here's a Little Something for Ya,
1918,Multilateral Nuclear Disarmament,short
1919,Hey Fuck You,short
1920,Oh Word?,
1921,That’s It That’s All,short
1922,Shazam!,short
1923,We Got The,short
1924,Right Right Now Now,short
1925,Triple Trouble,short
1926,An Open Letter to NYC,
1927,Crawlspace,short
1928,The Brouhaha,short
1929,3 the Hard Way,short
1930,It Takes Time to Build,
1931,Ch-Check It Out,good
1932,All Lifestyles,short
1933,Rhyme the Rhyme Well,short
1934,B-Boys Makin' With the Freak Freak,
1935,Flute Loop,short
1936,Ricky’s Theme,
1937,Sabrosa,
1938,Futterman’s Rule,
1939,Alright Hear This,
1940,Eugene’s Lament,short
1941,Transitions,short
1942,Sure Shot,
1943,Tough Guy,short
1944,Bobo on the Corner,short
1945,Get It Together,
1946,The Scoop,
1947,Shambala,
1948,Bodhisattva Vow,
1949,Root Down,
1950,Sabotage,good
1951,The Update,
1952,Do It,
1953,Heart Attack Man,short
1954,"Hold It Now, Hit It",
1955,Brass Monkey,short
1956,Rhymin & Stealin,
1957,Fight for Your Right,
1958,No Sleep Till Brooklyn,good
1959,Time to Get Ill,
1960,The New Style,
1961,Posse in Effect,short
1962,She’s Crafty,
1963,Slow Ride,short
1964,Girls,short
1965,Paul Revere,
1966,Slow and Low,
1967,Colors,bad
1968,I’m So Free,bad
1969,Dear Life,bad
1970,Fix Me,bad
1971,No Distraction,bad
1972,Dreams,bad
1973,Wow,bad
1974,Up All Night,bad
1975,Square One,short
1976,Seventh Heaven,bad
1977,Cycle,short
1978,Don’t Let It Go,
1979,Blackbird Chain,
1980,Phase,short
1981,Morning,
1982,Blue Moon,
1983,Unforgiven,
1984,Wave,
1985,Turn Away,good
1986,Say Goodbye,
1987,Country Down,
1988,Heart Is a Drum,
1989,Waking Light,
1990,The New Pollution,
1991,Readymade,short
1992,Deadweight,
1993,Inferno,
1994,Where It’s At,
1995,Minus,short
1996,Sissyneck,
1997,High 5 (Rock the Catskills),
1998,Devil’s Haircut,bad
1999,Lord Only Knows,
2000,Derelict,
2001,Jack‐Ass,
2002,Ramshackle,
2003,Gold Chains,
2004,Hotwax,bad
2005,Novacane,
2006,Computer Rock,short
2007,Blackhole / [Analog Odyssey],
2008,Fuckin With My Head (Mountain Dew Rock),
2009,"Whiskeyclone, Hotel City 1997",
2010,Soul Suckin Jerk,
2011,Sweet Sunshine,
2012,Loser,
2013,Nitemare Hippy Girl,short
2014,Pay No Mind (Snoozer),
2015,Truckdrivin Neighbors Downstairs (Yellow Sweat),short
2016,Beercan,
2017,Steal My Body Home,
2018,Mutherfuker,short
2019,Let Me Know Something?!,
2020,Poison,
2021,I Do Need You.,
2022,Dope!,
2023,B.B.D. (I Thought It Was Me)?,
2024,Do Me!,
2025,"Ronnie, Bobby, Ricky, Mike, Ralph and Johnny (Word to the Mutha)!",
2026,Ain’t Nut’in’ Changed!,
2027,When Will I See You Smile Again?,
2028,Birds Fly by Flapping Their Wings,good
2029,"Fall In, Fall Out",
2030,Daphnis 26,
2031,Altostratus,
2032,Sherbrooke,
2033,In the Shape of a Flute,
2034,Freeze-Frames,
2035,Kobresia,
2036,Sphere of No-Form,
2037,The Club,short
2038,The Eye of the Cyclone,
2039,As the Sun Kissed the Horizon,short
2040,City Wakes Up,
2041,Endurium,
2042,Times When I Know You’ll Be Sad,
2043,Uva-Ursi,
2044,Chukhung,
2045,Prologue,short
2046,Silene,
2047,The Silent Orchestra,
2048,The Things I Tell You,
2049,Antennaria,
2050,Hyperborea,
2051,Manicure,
2052,Ballerina,
2053,Poa Alpina,good
2054,Walk Like Me,
2055,Follow Me,
2056,Europa,
2057,Here’s Looking at You,short
2058,The Tide Is High,
2059,Do the Dark,
2060,T-Birds,
2061,Live It Up,
2062,Angels on the Balcony,
2063,Go Through It,short
2064,Rapture,good
2065,Faces,
2066,You're a Big Girl Now,
2067,Idiot Wind,
2068,You're Gonna Make Me Lonesome When You Go,short
2069,Tangled Up in Blue,
2070,Simple Twist of Fate,
2071,Meet Me in the Morning,
2072,"Lily, Rosemary and the Jack of Hearts",
2073,"If You See Her, Say Hello",
2074,Shelter From the Storm,good
2075,Buckets of Rain,
2076,Kindred,
2077,Loner,bad
2078,Ashtray Wasp,
2079,Endorphin,short
2080,Ghost Hardware,good
2081,Dog Shelter,
2082,UK,short
2083,Archangel,bad
2084,Untrue,good
2085,Homeless,
2086,Near Dark,good
2087,Etched Headplate,bad
2088,In McDonalds,short
2089,Shell of Light,bad
2090,Raver,
2091,[untitled],short
2092,Distant Lights,bad
2093,Southern Comfort,good
2094,Forgive,bad
2095,Untitled 2,short
2096,Untitled 1,short
2097,Spaceape,bad
2098,Night Bus,short
2099,Broken Home,bad
2100,Wounder,bad
2101,Gutted,good
2102,U Hurt Me,good
2103,Prayer,bad
2104,Pirates,bad
2105,"Come On, Come On",
2106,Hot in the City,
2107,Nobody's Business,
2108,Hole in the Wall,
2109,Shooting Stars,
2110,It's So Cruel,
2111,Congo Man,short
2112,"White Wedding, Part 1",good
2113,Dead on Arrival,
2114,Love Calling,
2115,Triumph of a Heart,bad
2116,Where Is the Line,bad
2117,Mouth’s Cradle,bad
2118,Ancestors,bad
2119,Desired Constellation,bad
2120,Miðvikudags,short
2121,"Who Is It (Carry My Joy on the Left, Carry My Pain",bad
2122,Vökuró,bad
2123,Öll birtan,short
2124,Submarine,bad
2125,Oceania,bad
2126,Sonnets/Unrealities XI,short
2127,Pleasure Is All Mine,bad
2128,Show Me Forgiveness,short
2129,Pagan Poetry,bad
2130,Aurora,good
2131,"An Echo, a Stain",bad
2132,Heirloom,bad
2133,Hidden Place,bad
2134,It’s Not Up to You,bad
2135,Undo,bad
2136,Frosti,short
2137,Sun in My Mouth,short
2138,Harm of Will,bad
2139,Unison,bad
2140,Cocoon,bad
2141,Alarm Call,bad
2142,Hunter,good
2143,Jóga,good
2144,Unravel,good
2145,5 Years,bad
2146,Immature,good
2147,Pluto,bad
2148,All Is Full of Love,good
2149,Bachelorette,good
2150,All Neon Like,bad
2151,Possibly Maybe,bad
2152,Headphones,bad
2153,Army of Me,good
2154,The Modern Things,bad
2155,It’s Oh So Quiet,good
2156,Enjoy,bad
2157,You’ve Been Flirting Again,short
2158,Isobel,good
2159,Hyper‐Ballad,bad
2160,I Miss You,bad
2161,Cover Me,short
2162,Venus as a Boy,good
2163,Like Someone in Love,good
2164,Big Time Sensuality,bad
2165,One Day,bad
2166,Aeroplane,bad
2167,Come to Me,good
2168,Violently Happy,bad
2169,Human Behaviour,bad
2170,Play Dead,good
2171,The Anchor Song,good
2172,Crying,bad
2173,There’s More to Life Than This,bad
2174,I See Who You Are,bad
2175,Vertebræ by Vertebræ,bad
2176,Pneumonia,bad
2177,Declare Independence,bad
2178,My Juvenile,bad
2179,The Dull Flame of Desire,bad
2180,Earth Intruders,bad
2181,Wanderlust,bad
2182,Innocence,bad
2183,Hope,bad
2184,Recurring,good
2185,Nightlite (demo version),bad
2186,Intro,short
2187,Walk in the Sky,bad
2188,Ketto,good
2189,On Your Marks,good
2190,Between the Lines,bad
2191,"Transmission 94, Parts 1 & 2",good
2192,If You Stayed Over,bad
2193,If You Stayed Over (reprise),good
2194,Days to Come,good
2195,Nightlite,good
2196,Between the Lines (instrumental),bad
2197,If You Stayed Over (instrumental),bad
2198,Walk in the Sky (instrumental),good
2199,Hatoa,good
2200,The Fever,good
2201,Days to Come (instrumental),bad
2202,Noctuary,bad
2203,D Song,good
2204,Change Down,good
2205,Wayward Bob,good
2206,Pick Up,good
2207,Something for Windy,short
2208,Nothing Owed,good
2209,Light Pattern,good
2210,Flutter,good
2211,Scuba,good
2212,Dismantling Frank,good
2213,The Sicilian,good
2214,The Shark,good
2215,Magicman,good
2216,Gypsy,bad
2217,Sugar Rhyme,bad
2218,Intro,short
2219,Dinosaurs,bad
2220,Terrapin,good
2221,Shadowtricks,good
2222,Sleepy Seven,good
2223,Kota,good
2224,The Plug,good
2225,Silver,good
2226,Kerala,
2227,Figures,
2228,Grains,bad
2229,Second Sun,bad
2230,Surface,bad
2231,Outlier,bad
2232,Bambro Koyo Ganda,good
2233,Ontario,
2234,No Reason,
2235,7th Sevens,
2236,Migration,bad
2237,Break Apart,bad
2238,Jets,bad
2239,Towers,bad
2240,Don’t Wait,bad
2241,Antenna,bad
2242,Emkay,bad
2243,Heaven for the Sinner,bad
2244,Sapphire,good
2245,Know You,bad
2246,Ten Tigers,bad
2247,Pieces,bad
2248,Transits,good
2249,First Fires,bad
2250,Cirrus,good
2251,El Toro,good
2252,We Could Forever,good
2253,All in Forms,bad
2254,The Keeper,short
2255,Stay the Same,good
2256,Animals,good
2257,Prelude,short
2258,Kiara,good
2259,Kong,bad
2260,Eyesdown,good
2261,1009,good
2262,Black Sands,good
2263,Radar,
2264,Heaven on Earth,
2265,Perfect Lover,
2266,Why Should I Be Sad,
2267,Break the Ice,
2268,Get Naked (I Got a Plan),
2269,Ooh Ooh Baby,
2270,Gimme More,
2271,Piece of Me,
2272,Freakshow,short
2273,Toy Soldier,
2274,Hot as Ice,
2275,So Good,
2276,Mountains,
2277,The Hunger,
2278,Feel for You,
2279,Desert Man,
2280,Jasmine,short
